Company_Code,Company_Name,Sector,Year,Total_Assets,Total_Liabilities,Liabilities,Shareholders_Equity,Gross_Income,Profit
CIMSA,Cimsa Cimento,Industry,2017,3242449563,3242449563,1820099752,1422349811,394889849,228351942
CIMSA,Cimsa Cimento,Industry,2018,3483989356,3483989356,2032509976,1451479380,405980614,154925532
CIMSA,Cimsa Cimento,Industry,2019,3795930288,3795930288,2310167049,1485763239,273750859,13169480
CIMSA,Cimsa Cimento,Industry,2020,5129182413,5129182413,3290338076,1838844337,467752689,175746242
CIMSA,Cimsa Cimento,Industry,2021,5248764237,5248764237,2475910139,2772854098,712959657,1016600770
DERIM,Derimod,Industry,2017,319050617,319050617,275725817,43324800,21793929,723269
DERIM,Derimod,Industry,2018,288532426,288532426,247752902,40779524,19793939,-723340
DERIM,Derimod,Industry,2019,331512393,331512393,254199519,77312874,26997171,-6326020
DERIM,Derimod,Industry,2020,320143177,320143177,248332078,71811099,20193149,-5339613
DERIM,Derimod,Industry,2021,393015779,393015779,319244559,73771220,54751468,2730784
DESA,Desa,Industry,2017,252664515,252664515,182747883,69916632,100434028,-186146
DESA,Desa,Industry,2018,279267716,279267716,203774981,75492735,158614201,8378556
DESA,Desa,Industry,2019,369203380,369203380,275476251,93727129,161843391,18243268
DESA,Desa,Industry,2020,353866719,353866719,259282454,94584265,115860660,1646934
DESA,Desa,Industry,2021,635435046,635435046,427484347,207950699,191727994,46351875
OYAKC,Oyak Cimento,Industry,2017,334704347,334704347,62931332,271773015,70647856,52719071
OYAKC,Oyak Cimento,Industry,2018,367248156,367248156,109866550,257381606,49030714,30411067
OYAKC,Oyak Cimento,Industry,2019,278293840,278293840,54638986,223654854,331741936,27001972
OYAKC,Oyak Cimento,Industry,2020,3972726540,3972726540,1690575335,2282151205,578184758,358453306
OYAKC,Oyak Cimento,Industry,2021,4875634189,4875634189,1897712996,2977921193,1143486385,725165282
AKBNK,Akbank,Banking,2017,316030868000,316030868000,275606362000,40424506000,14126335000,6039069000
AKBNK,Akbank,Banking,2018,327642125000,327642125000,283833036000,43809089000,18671086000,5689644000
AKBNK,Akbank,Banking,2019,360501112000,360501112000,306118685000,54382427000,20463138000,5417468000
AKBNK,Akbank,Banking,2020,446100801000,446100801000,383181808000,62918993000,24155555000,6267167000
AKBNK,Akbank,Banking,2021,708911295000,708911295000,632956344000,75954951000,36765954000,12125908000
GARAN,Garanti Bankasi,Banking,2017,325232274000,325232274000,283901064000,41331210000,17221348000,6343920000
GARAN,Garanti Bankasi,Banking,2018,359477202000,359477202000,312789349000,46687853000,25051302000,6638236000
GARAN,Garanti Bankasi,Banking,2019,391152270000,391152270000,337386604000,53765666000,27150149000,6158841000
GARAN,Garanti Bankasi,Banking,2020,492797820000,492797820000,430716097000,62081723000,34514423000,6238003000
GARAN,Garanti Bankasi,Banking,2021,758880152000,758880152000,678898893000,79981259000,55087899000,13073306000
HALKB,Halkbank,Banking,2017,305350648000,305350648000,279973909000,25376739000,10731627000,3725462000
HALKB,Halkbank,Banking,2018,378422055000,378422055000,349401320000,29020735000,11313321000,2521795000
HALKB,Halkbank,Banking,2019,457045401000,457045401000,424848575000,32196826000,12952423000,1720309000
HALKB,Halkbank,Banking,2020,680026095000,680026095000,637095591000,42930504000,18038959000,2600045000
HALKB,Halkbank,Banking,2021,901216593000,901216593000,857716238000,43500355000,22988878000,1507729000
VAKBN,Vakifbank,Banking,2017,270571710000,270571710000,247313892000,23257818000,11883393000,3723383000
VAKBN,Vakifbank,Banking,2018,331355641000,331355641000,303005451000,28350190000,15910769000,4154322000
VAKBN,Vakifbank,Banking,2019,419425553000,419425553000,386399280000,33026273000,18495899000,2802291000
VAKBN,Vakifbank,Banking,2020,698897118000,698897118000,652412460000,46484658000,26281913000,5010456000
VAKBN,Vakifbank,Banking,2021,1007213697000,1007213697000,955260957000,51952740000,27363201000,4175464000
AKGRT,Ak Sigorta,Insurance,2017,2712767764,2712767764,2083665199,629102565,167102342,126986683
AKGRT,Ak Sigorta,Insurance,2018,3514934241,3514934241,2796974778,717959463,294313834,227619080
AKGRT,Ak Sigorta,Insurance,2019,4607873257,4607873257,3709204241,898669016,492255579,366358436
AKGRT,Ak Sigorta,Insurance,2020,5600025386,5600025386,4399483685,1200541701,561596459,443965771
AKGRT,Ak Sigorta,Insurance,2021,7387862715,7387862715,6338572673,1049290042,294727333,189396766
ANSGR,Anadolu Sigorta,Insurance,2017,7032314592,7032314592,5393293172,1639021420,236833139,184196626
ANSGR,Anadolu Sigorta,Insurance,2018,7904031531,7904031531,6257825477,1646206054,386887784,307574340
ANSGR,Anadolu Sigorta,Insurance,2019,9767228189,9767228189,7611931738,2155296451,567748648,403062372
ANSGR,Anadolu Sigorta,Insurance,2020,12075877729,12075877729,9265499472,2810378257,560672464,460637712
ANSGR,Anadolu Sigorta,Insurance,2021,16775578080,16775578080,13572025884,3203552196,699041398,521836991
RAYSG,Ray Sigorta,Insurance,2017,735353658,735353658,550427991,184925667,31153295,21277863
RAYSG,Ray Sigorta,Insurance,2018,926672507,926672507,714500642,212171865,38823193,28391530
RAYSG,Ray Sigorta,Insurance,2019,1276030751,1276030751,1013876645,262154106,65690698,50083088
RAYSG,Ray Sigorta,Insurance,2020,1790113764,1790113764,1452211058,337902706,75326123,58923677
RAYSG,Ray Sigorta,Insurance,2021,2280945511,2280945511,1841201581,439743930,92873210,68315828
TURSG,Türkiye Sigorta,Insurance,2017,2167689442,2167689442,1490090283,677599159,26493239,26493239
TURSG,Türkiye Sigorta,Insurance,2018,6571002374,6571002374,4979457157,1591545217,10871374,10871374
TURSG,Türkiye Sigorta,Insurance,2019,8704611067,8704611067,6220359794,2484251273,1030839346,828378599
TURSG,Türkiye Sigorta,Insurance,2020,11064114586,11064114586,7604613554,3459501032,1429447457,1153019269
TURSG,Türkiye Sigorta,Insurance,2021,14351084761,14351084761,10131018854,4220065907,1402822709,1058300968
CRDFA,Creditwest Faktoring,Faktoring,2017,706590822,706590822,555949465,150641357,53349036,22970330
CRDFA,Creditwest Faktoring,Faktoring,2018,399931710,399931710,268927762,131003948,54662471,23713740
CRDFA,Creditwest Faktoring,Faktoring,2019,466100939,466100939,311946929,154154010,51696738,23200453
CRDFA,Creditwest Faktoring,Faktoring,2020,400565047,400565047,230939191,169625856,26473081,15400029
CRDFA,Creditwest Faktoring,Faktoring,2021,586209979,586209979,359216926,226993053,36516152,13532546
GARFA,Garanti Faktoring,Faktoring,2017,3451881000,3451881000,3238895000,212986000,286315000,27603000
GARFA,Garanti Faktoring,Faktoring,2018,2434060000,2434060000,2278515000,155545000,114045000,-57376000
GARFA,Garanti Faktoring,Faktoring,2019,2201627000,2201627000,2037643000,163984000,111965000,24438000
GARFA,Garanti Faktoring,Faktoring,2020,2912563000,2912563000,2698973000,213590000,119962000,50150000
GARFA,Garanti Faktoring,Faktoring,2021,4355909000,4355909000,4010803000,345106000,219598000,131936000
LIDFA,Lider Faktoring,Faktoring,2017,1297450000,1297450000,1164701000,132749000,41091000,23112000
LIDFA,Lider Faktoring,Faktoring,2018,996206000,996206000,840134000,156072000,38813000,19892000
LIDFA,Lider Faktoring,Faktoring,2019,1135109000,1135109000,964903000,170206000,42586000,18290000
LIDFA,Lider Faktoring,Faktoring,2020,944569000,944569000,768096000,176473000,19435000,6312000
LIDFA,Lider Faktoring,Faktoring,2021,1230575000,1230575000,1014127000,216448000,55386000,38162000
ULUFA,Ulusal Faktoring,Faktoring,2017,1094915000,1094915000,963353000,131562000,87204000,27121000
ULUFA,Ulusal Faktoring,Faktoring,2018,715030000,715030000,570023000,145007000,101003000,19379000
ULUFA,Ulusal Faktoring,Faktoring,2019,1004087000,1004087000,840804000,163283000,102790000,18807000
ULUFA,Ulusal Faktoring,Faktoring,2020,1136373000,1136373000,970259000,166114000,72389000,2577000
ULUFA,Ulusal Faktoring,Faktoring,2021,1612919000,1612919000,1348111000,264808000,121708000,22001000
